episode,steps,score,coins,kills,invalid_moves,killed,suicide,episode_reward,decision_time_mean,decision_time_max,path_efficiency
1,11,2,2,0,0,True,True,-70.3,0.00024247199127619916,0.0003711492754518986,0.0
2,9,3,3,0,0,True,True,-60.300000000000004,0.00022581012712584602,0.000257980078458786,0.5555555555555556
3,11,1,1,0,0,True,True,-80.5,0.0002165047705850818,0.0002611689269542694,0.0
4,7,1,1,0,0,True,True,-80.2,0.000200348041419472,0.00022875890135765076,0.0
5,5,0,0,0,0,True,True,-90.39999999999999,0.0002087049186229706,0.00024846894666552544
6,61,10,10,0,0,True,True,8.099999999999994,0.00021537273480999665,0.0003306092694401741,0.32786885245901637
7,42,3,3,0,0,True,True,-61.80000000000002,0.00021531969486247924,0.0003132792189717293,0.16666666666666666
8,19,2,2,0,0,True,True,-70.5,0.00022181341620652298,0.0002598091959953308,0.15789473684210525
9,26,1,1,0,0,True,True,-80.6,0.000220842372912627,0.0002705790102481842,0.07692307692307693
10,17,2,2,0,0,True,True,-70.9,0.00019447039812803268,0.00024888990446925163,0.17647058823529413
11,9,0,0,0,0,True,True,-90.6,0.00020847143605351448,0.00023669889196753502
12,14,4,4,0,0,True,True,-50.300000000000004,0.0002501283971858876,0.0003135092556476593,0.2857142857142857
13,6,1,1,0,0,True,True,-80.39999999999999,0.0001967908659329017,0.00022011902183294296,0.0
14,5,0,0,0,0,True,True,-90.39999999999999,0.00019413502886891365,0.00022901874035596848
15,24,4,4,0,0,True,True,-51.1,0.00020278435355673233,0.0002646292559802532,0.125
16,8,1,1,0,0,True,True,-80.4,0.00020670576486736536,0.00024185888469219208,0.375
17,18,1,1,0,0,True,True,-80.69999999999999,0.00021311032792760266,0.0002549001947045326,0.05555555555555555
18,22,5,5,0,0,True,True,-40.900000000000006,0.0002272746271707795,0.00032913824543356895,0.36363636363636365
19,18,2,2,0,0,True,True,-71.1,0.00020368601609435346,0.0002512889914214611,0.2222222222222222
20,26,0,0,0,0,True,True,-90.9,0.00022882230293292267,0.0002765189856290817
21,10,0,0,0,0,True,True,-90.5,0.00021622749045491219,0.00024893926456570625
22,15,3,3,0,0,True,True,-60.5,0.00020621328925093016,0.0003131492994725704,0.4
23,9,2,2,0,0,True,True,-70.2,0.01138435159292486,0.10032414086163044,0.3333333333333333
24,15,3,3,0,0,True,True,-60.599999999999994,0.0002013860580821832,0.00026402901858091354,0.3333333333333333
25,6,1,1,0,0,True,True,-80.5,0.00020187433498601118,0.00024160929024219513,0.0
26,17,0,0,0,0,True,True,-90.8,0.00021881265017916174,0.00029301922768354416
27,6,0,0,0,0,True,True,-90.3,0.00019471122262378535,0.00022340985015034676
28,5,3,3,0,0,True,True,-60.199999999999996,0.00019284328445792198,0.00023249909281730652,0.4
29,5,1,1,0,0,True,True,-80.19999999999999,0.00019624102860689164,0.0002344888634979725,0.4
30,5,1,1,0,0,True,True,-80.3,0.0001913551241159439,0.00022659869864583015,0.2
31,8,2,2,0,0,True,True,-70.4,0.0002489766920916736,0.000600478146225214,0.0
32,8,2,2,0,0,True,True,-70.3,0.0002127668703906238,0.000276228878647089,0.0
33,8,1,1,0,0,True,True,-80.4,0.00025583431124687195,0.0005331384018063545,0.125
34,5,2,2,0,0,True,True,-70.1,0.0002715151757001877,0.0005364981479942799,0.6
35,7,1,1,0,0,True,True,-80.6,0.0001981979502098901,0.00023248884826898575,0.0
36,20,3,3,0,0,True,True,-60.6,0.00024292964953929186,0.00031003914773464203,0.3
37,5,2,2,0,0,True,True,-70.2,0.00019225776195526124,0.00023351982235908508,0.2
